,station_name,image_of_station,transport_connection,services,distance_from_sX_km,distance_from_sX_mi,zone,date_opened,suburb,notes
0,Aircraft,//upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Aircraft_Station_%282%29.jpg/100px-Aircraft_Station_%282%29.jpg,['bus'],Werribee,22.23,13.81,2,7 March 1925,Laverton,Rebuilt in 2022
1,Alamein,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Alamein_station_2008.JPG/100px-Alamein_station_2008.JPG,[],Alamein,16.12,10.02,1,28 June 1948,Ashburton,
2,Albion,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Albion_railway_station_platform_1%2C_2013.JPG/100px-Albion_railway_station_platform_1%2C_2013.JPG,['bus'],Sunbury,13.65,8.48,"['1', '2\n']",5 January 1860,Albion,Formerly Albion and Darlington
3,Alphington,//upload.wikimedia.org/wikipedia/commons/thumb/8/81/AlphingtonStation.JPG/100px-AlphingtonStation.JPG,['bus'],Hurstbridge,10.46,6.50,1,8 May 1888,Alphington,
4,Altona,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Altona_Station_%283%29.jpg/100px-Altona_Station_%283%29.jpg,['bus'],Werribee,17.15,10.66,"['1', '2\n']",22 August 1888,Altona,Formerly Altona Beach. Rebuilt in 1917
5,Anstey,//upload.wikimedia.org/wikipedia/commons/thumb/3/39/Anstey_Station_Oct_2019_01.jpg/100px-Anstey_Station_Oct_2019_01.jpg,"['tram', 'bus']",Upfield,8.04,5.00,1,15 December 1926,Brunswick,
6,Armadale,//upload.wikimedia.org/wikipedia/commons/thumb/6/65/ArmadaleTrainStation.jpg/100px-ArmadaleTrainStation.jpg,"['tram', 'bus']",Frankston,8.67,5.39,1,7 May 1879,Armadale,
7,Ascot Vale,//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Overview_of_Ascot_Vale_railway_station%2C_Melbourne.jpg/100px-Overview_of_Ascot_Vale_railway_station%2C_Melbourne.jpg,"['tram', 'bus']",Craigieburn,5.81,3.61,1,1 November 1860,Ascot Vale,
8,Ashburton,//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Ashburton_Station_2.jpg/100px-Ashburton_Station_2.jpg,['bus'],Alamein,15.39,9.56,1,30 May 1890,Ashburton,Formerly Norwood
9,Aspendale,//upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Station_aspendale_1.jpg/100px-Station_aspendale_1.jpg,['bus'],Frankston,30.31,18.83,1,c. April 1891,Aspendale,Formerly Aspendale Park Race-Course
10,Auburn,//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Auburn-towards-city-2.jpg/100px-Auburn-towards-city-2.jpg,['bus'],AlameinBelgraveLilydale,8.96,5.57,1,3 April 1882,Hawthorn East,Formerly Auburn Road
11,Balaclava,//upload.wikimedia.org/wikipedia/commons/thumb/2/24/Balaclava_station_.jpg/100px-Balaclava_station_.jpg,['tram'],Sandringham,9.08,5.64,1,19 December 1859,Balaclava,Upgraded in 2014
12,Batman,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Batman_Station_%282%29.jpg/100px-Batman_Station_%282%29.jpg,['bus'],Upfield,11.23,6.98,"['1', '2\n']",8 October 1889,Coburg North,Formerly Bell Park
13,Baxter,//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Baxter_railway_station%2C_Melbourne.jpg/100px-Baxter_railway_station%2C_Melbourne.jpg,['bus'],Stony Point,51.97,32.29,2,1 October 1888,Baxter,Formerly Mornington Junction
14,Bayswater,//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Bayswater_Railway_Station.jpg/100px-Bayswater_Railway_Station.jpg,['bus'],Belgrave,30.76,19.11,2,4 December 1889,Bayswater,Rebuilt in 2016
15,Beaconsfield,//upload.wikimedia.org/wikipedia/commons/thumb/2/22/BeaconsfieldStation.jpg/100px-BeaconsfieldStation.jpg,['bus'],Pakenham,46.99,29.20,2,1 December 1879,Beaconsfield,
16,Belgrave,//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Belgrave_Railway_Station_Buildings.jpg/100px-Belgrave_Railway_Station_Buildings.jpg,['bus'],Belgrave,42.53,26.43,2,18 December 1900,Belgrave,Formerly Monbulk. Originally narrow gauge
17,Bell,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Bell_Railway_Station_rebuild.jpg/100px-Bell_Railway_Station_rebuild.jpg,['bus'],Mernda,11.70,7.27,1,8 October 1889,Preston,Formerly Preston – Bell Street. Rebuilt in 2022
18,Bentleigh,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/New_Bentleigh_Railway_Station.jpg/100px-New_Bentleigh_Railway_Station.jpg,['bus'],Frankston,16.47,10.23,"['1', '2\n']",19 December 1881,Bentleigh,Formerly East Brighton. Rebuilt in 2016
19,Berwick,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Berwick_railway_station%2C_Melbourne.JPG/100px-Berwick_railway_station%2C_Melbourne.JPG,['bus'],PakenhamTraralgon,44.58,27.70,2,8 October 1877,Berwick,
20,Bittern,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Railline-bittern.jpg/100px-Railline-bittern.jpg,['bus'],Stony Point,68.67,42.67,2,17 September 1889,Bittern,
21,Blackburn,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Blackburn_station.jpg/100px-Blackburn_station.jpg,['bus'],BelgraveLilydale,18.67,11.60,2,25 December 1882,Blackburn,
